section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,Main Section,Row,"Draft amendment in Recruitment Rules for the Post of Research Assistant, Junior Research Assistant and Computor in Pay Research Unit of this department","Sr. No.: 1 | Title: Draft amendment in Recruitment Rules for the Post of Research Assistant, Junior Research Assistant and Computor in Pay Research Unit of this department | Date: 14/01/2020 | Download: Download (3.66 MB)",https://doe.gov.in/recruitment-rules,https://doe.gov.in/files/recruitment_rules_attachment/RR_for_the_post_of_RA_JRA_and_Computor_in_PRU_of_this_departmen.pdf,pdfs/RR_for_the_post_of_RA_JRA_and_Computor_in_PRU_of_this_departmen.pdf
Table,Main Section,Row,Draft Recruitment Rules of SCD - Special Grade,Sr. No.: 2 | Title: Draft Recruitment Rules of SCD - Special Grade | Date: 03/09/2019 | Download: Download (1.27 MB),https://doe.gov.in/recruitment-rules,https://doe.gov.in/files/recruitment_rules_attachment/Draft_RRs_SCD.pdf,pdfs/Draft_RRs_SCD.pdf
Table,Main Section,Row,Recruitment Rules for the post of Senior Investigator,Sr. No.: 3 | Title: Recruitment Rules for the post of Senior Investigator | Date: 13/02/2019 | Download: Download (279.54 KB),https://doe.gov.in/recruitment-rules,https://doe.gov.in/files/recruitment_rules_attachment/RR_for_senior_Investigator_2019.pdf,pdfs/RR_for_senior_Investigator_2019.pdf
Table,Main Section,Row,Draft Amendment in the Recruitment Rules for the post of Sr. Investigator,Sr. No.: 4 | Title: Draft Amendment in the Recruitment Rules for the post of Sr. Investigator | Date: 06/04/2018 | Download: Download (2.58 MB),https://doe.gov.in/recruitment-rules,https://doe.gov.in/files/recruitment_rules_attachment/Recruitment_Rules_for_the_post_of_SrInvestigator.pdf,pdfs/Recruitment_Rules_for_the_post_of_SrInvestigator.pdf
