section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment General Section,Home > Divisions > Personnel and Establishment Division > Establishment General Section,https://doe.gov.in/establishment-general-section,,,,
Page Title,Main Heading,H1 Title,Establishment General Section,Establishment General Section,https://doe.gov.in/establishment-general-section,,,,
Divisions,Establishment General Section,Section Heading,Establishment General Section,Establishment General Section,https://doe.gov.in/establishment-general-section,,,,
Divisions,Establishment General Section,Bullet Point,Establishment General Section - Point 1,Proposals relating to enhancement/revision of ceilings in Governors’s allowances and privileges received from Ministry of Home Affairs.,https://doe.gov.in/establishment-general-section,,,,
Divisions,Establishment General Section,Bullet Point,Establishment General Section - Point 2,"Establishment matters (i.e. Disciplinary cases, Recruitment rules, Foreign deputations of C&AG/IA&AD officers, Appointment of Deputy C&AG, Issue of provisional/formal order of appointment to officers of IA&AS cadre, Creation of high level posts in the O/o the C&AG/IA&AD, Technical resignation of IA&AS officers etc.) relating to IA&AD/O/o the C&AG of India requiring Presidential sanction/approval.",https://doe.gov.in/establishment-general-section,,,,
Divisions,Establishment General Section,Bullet Point,Establishment General Section - Point 3,Proposals relating to Misc. allowances such as training allowance etc.(except specifically related to 7th CPC),https://doe.gov.in/establishment-general-section,,,,
Divisions,Establishment General Section,Bullet Point,Establishment General Section - Point 4,Parliament matters/VIP references/RTI matters on the above subjects.,https://doe.gov.in/establishment-general-section,,,,
